1
10 45
0 1 1.3026429980613474
0 2 6.739017870686918
0 3 1.9408573808882734
0 4 1.1505626127672397
0 5 6.532882410158736
0 6 1.4413426697807596
0 7 4.880088002321967
0 8 4.708208724561015
0 9 8.270567856578142
1 2 6.288350908442871
1 3 3.1639261006623776
1 4 0.478312100570808
1 5 7.341689029782456
1 6 9.329425908275283
1 7 4.418757395495184
1 8 5.805284398707354
1 9 2.8480180496483443
2 3 8.397572816913696
2 4 6.165966288911374
2 5 5.2178276856438375
2 6 6.255145187920679
2 7 5.10067811715064
2 8 6.9038629083413605
2 9 3.1365333692095207
3 4 1.520677940948001
3 5 5.847271102001845
3 6 4.1375161319534195
3 7 2.7573734402310865
3 8 3.969207601584148
3 9 3.006458865182399
4 5 9.978140283915161
4 6 7.789849798785456
4 7 6.841349459595789
4 8 7.4755300997321195
4 9 8.18562795916295
5 6 0.18366029616809998
5 7 7.2273676487532565
5 8 1.1650589271582923
5 9 1.3422812644997484
6 7 7.495300537599424
6 8 2.4415977955614885
6 9 4.210159336207335
7 8 3.222740928687079
7 9 8.126116262071687
8 9 3.8020832875646127
0
